route_id;agency_id;route_short_name;route_long_name;route_type;route_desc;route_code
152;1;11T;ACARLAR SÄ°TESÄ° - HAREM PERONLAR 2;3;SAAT'LERDE YEDÄ°TEPE ÃœNV. UÄRAR;11T_G_D1010
153;1;11Ãœ;HAREM PERONLAR 2 - ESATPAÅA;3;;11Ãœ_D_D0
154;1;11Ãœ;HAREM PERONLAR 2 - BULGURLU;3;SEFERLER E5'DEN;11Ãœ_D_D1605
155;1;11Ãœ;ESATPAÅA - HAREM PERONLAR 2;3;;11Ãœ_G_D0
156;1;11Ãœ;BULGURLU - HAREM PERONLAR 2;3;SEFERLER E5'DEN;11Ãœ_G_D1604
157;1;11Ãœ;ESATPAÅA - ÃœSKÃœDAR MARMARAY;3;;11Ãœ_G_D2285
158;1;11ÃœS;ÃœSKÃœDAR MARMARAY - SULTANBEYLÄ° PERONLAR;3;;11ÃœS_D_D0
159;1;11ÃœS;MADENLER - SULTANBEYLÄ° PERONLAR;3;;11ÃœS_D_D1692
160;1;11ÃœS;ÃœSKÃœDAR MARMARAY - SULTANBEYLÄ° PERONLAR;3;ÃœMRANÄ°YE GÃœZERGAHINDAN HÄ°ZMET VERÄ°R.;11ÃœS_D_D2033
161;1;11ÃœS;ÃœSKÃœDAR - SULTANBEYLÄ° PERONLAR;3;;11ÃœS_D_D2252
162;1;11ÃœS;ÅEHÄ°T EROL OLÃ‡OK - SULTANBEYLÄ° PERONLAR;3;;11ÃœS_D_D2506
163;1;11ÃœS;SULTANBEYLÄ° PERONLAR - ÃœSKÃœDAR MARMARAY;3;;11ÃœS_G_D0
164;1;11ÃœS;SARIGAZÄ° MERKEZ - ÃœSKÃœDAR MARMARAY;3;SARIGAZÄ° MERKEZ'DEN BAÅLAR.;11ÃœS_G_D1646
165;1;11ÃœS;SULTANBEYLÄ° PERONLAR - EÅREF BÄ°TLÄ°S BULVARI;3;;11ÃœS_G_D1772
166;1;11ÃœS;SULTANBEYLÄ°-RAHMAN SOKAK;3;;11ÃœS_G_D1787
167;1;11ÃœS;SULTANBEYLÄ° PERONLAR - ÃœSKÃœDAR;3;ÃœMRANÄ°YE GÃœZERGAHINDAN HÄ°ZMET VERÄ°R.;11ÃœS_G_D2032
168;1;11ÃœS;SARIGAZÄ° MERKEZ - SULTANBEYLÄ° PERONLAR;3;SARIGAZÄ° MERKEZ DURAÄINDAN BAÅLAR.;11ÃœS_G_D2093
169;1;11ÃœS;SULTANBEYLÄ° PERONLAR - ÃœSKÃœDAR;3;;11ÃœS_G_D2251
171;1;11ÃœS;SULTANBEYLÄ° PERONLAR - ALTUNÄ°ZADE METROBÃœS;3;SULTANBEYLÄ° - ALTUNÄ°ZADE GÃœZERGAHINDA HÄ°ZMET VERÄ°R.;11ÃœS_G_D2503
172;1;11ÃœS;SARIGAZÄ° MERKEZ - SULTANBEYLÄ° PERONLAR;3;;11ÃœS_G_D2750
173;1;11ÃœS;Ã‡AMLIK - SULTANBEYLÄ° PERONLAR;3;;11ÃœS_G_D2751
174;1;11V;ÅEHÄ°T EROL OLÃ‡OK - RECEP TAYYÄ°P ERDOÄAN CADDESÄ°;3;;11V_D_D0
175;1;11V;RECEP TAYYÄ°P ERDOÄAN CADDESÄ° - ALTUNÄ°ZADE METROBÃœS;3;ARAÃ‡LARIMIZ ALTUNÄ°ZADE METROBÃœSTEN Ä°Å GÃœNLERÄ°NDE 15:00 SAATÄ°NE KADAR RÄ°NG.;11V_G_D0
176;1;11V;RECEP TAYYÄ°P ERDOÄAN CADDESÄ° - VEYSEL KARANÄ° Ä°LKOKULU/VEYSEL KARANÄ° MAHALLE MUHTARLIÄI;3;;11V_G_D2273
177;1;11Y;ÃœSKÃœDAR MARMARAY - YAVUZTÃœRK SÄ°TELER;3;;11Y_D_D0
178;1;11Y;YAVUZTÃœRK SÄ°TELER - ÃœSKÃœDAR MARMARAY;3;;11Y_G_D0
179;1;11Y;YAVUZTÃœRK SÄ°TELER - DALGIÃ‡ KENT;3;;11Y_G_D2271
180;1;11Y;YAVUZTÃœRK SÄ°TELER - DALGIÃ‡ KENT;3;;11Y_G_D2539
181;1;12;MARMARAY - KADIKÃ–Y ÃœSKÃœDAR;3;;12_D_D0
182;1;12;MARMARAY - KADIKÃ–Y ÃœSKÃœDAR;3;;12_D_D1143
183;1;12;KADIKÃ–Y - ÃœSKÃœDAR MARMARAY;3;;12_G_D0
184;1;12;KADIKÃ–Y - ÃœSKÃœDAR MARMARAY;3;;12_G_D1142
185;1;12;KADIKÃ–Y - ÃœSKÃœDAR MARMARAY;3;ARAÃ‡LARIMIZ Ä°Å, CUMARTESÄ° VE PAZAR GÃœNLERÄ°NDE ÃœSKÃœDAR MARMARAYDAN RÄ°NG;12_G_D2992
186;1;121A;MECÄ°DÄ°YEKÃ–Y MEZARLIK - Ã‡Ä°FTEÃ‡INARLAR;3;;121A_D_D0
188;1;121A;Ã‡Ä°FTEÃ‡INARLAR - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;;121A_G_D0
189;1;121A;Ã‡Ä°FTEÃ‡INARLAR - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;SEFERLER ANADOLUHÄ°SARI VE GÃ–KSU YOLUNDAN GÄ°DER.;121A_G_D2403
190;1;121A;TÃœRK ALMAN ÃœNÄ°VERSÄ°TESÄ° - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;SEFERLER MECÄ°DÄ°YEKÃ–Y- TÃœRK ALMAN ÃœNÄ°VERSÄ°TESÄ°.;121A_G_D2892
192;1;121B;MECÄ°DÄ°YEKÃ–Y MEZARLIK - KAVACIK AKTARMA;3;;121B_D_D0
193;1;121B;BOÄAZÄ°Ã‡Ä° ÃœNÄ°VERSÄ°TESÄ° - RASATHANE;3;;121B_D_D2103
194;1;121B;ÅAHÄ°NKAYA GARAJI - KAVACIK AKTARMA;3;;121B_D_D2377
195;1;121B;MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK - KAVACIK AKTARMA;3;;121B_D_D2767
197;1;121B;KAVACIK AKTARMA - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121B_G_D0
198;1;121B;ÅAHÄ°NKAYA GARAJI - DÃœZ KESTANE;3;;121B_G_D1534
199;1;121B;BEYKOZ KONAKLARI VAKFI ORTAOKULU - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;CENGÄ°ZHAN CAD. KALKAR.;121B_G_D2089
201;1;121B;KAVACIK AKTARMA - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121B_G_D2095
202;1;121B;RASATHANE - BOÄAZÄ°Ã‡Ä° ÃœNÄ°VERSÄ°TESÄ°;3;;121B_G_D2102
203;1;121B;KAVACIK AKTARMA - DÃœZ KESTANE;3;;121B_G_D2132
204;1;121B;KAVACIK AKTARMA - TÃœRK ALMAN ÃœNÄ°VERSÄ°TESÄ°;3;;121B_G_D2376
205;1;121B;DUTDERE - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121B_G_D2614
206;1;121B;DUTDERE - TÃœRK ALMAN ÃœNÄ°VERSÄ°TESÄ°;3;;121B_G_D2615
207;1;121B;KAVACIK AKTARMA - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;;121B_G_D2766
208;1;121B;KÄ°REMÄ°TÃ‡Ä° DERESÄ° - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121B_G_D2792
209;1;121B;KAVACIK AKTARMA - KAVACIK SAPAÄI;3;;121B_G_D2898
210;1;121B;DUTDERE - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;SEFERLER DUTDERE.;121B_G_D2940
211;1;121B;KAVACIK AKTARMA - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121B_G_D2942
212;1;121B;DUTDERE - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121B_G_D2991
213;1;121BS;MECÄ°DÄ°YEKÃ–Y MEZARLIK - SULTANÄ°YE;3;;121BS_D_D0
214;1;121BS;SULTANÄ°YE - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;;121BS_G_D0
216;1;121BS;SULTANÄ°YE - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;SAAT UYGULAMASI BULUNMAYAN ZAMAN DÄ°LÄ°MÄ°NDE MECÄ°DÄ°YEKÃ–Y MEZARLIK'A GÄ°RMEZ, MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœKTEN YOLCU ALARAK DEVAM EDER.;121BS_G_D2617
218;1;121BS;KAVACIK AKTARMA - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121BS_G_D2815
219;1;121BS;SULTANÄ°YE - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;121BS_G_D2914
220;1;122B;MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK - YENÄ°DOÄAN PERONLAR;3;;122B_D_D0
221;1;122B;YENÄ°DOÄAN PERONLAR - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;122B_G_D0
222;1;122B;YENÄ°DOÄAN PERONLAR - YENÄ°DOÄAN PERONLAR;3;HAT RÄ°NG OLARAK Ã‡ALIÅMAKTADIR.;122B_G_D2611
223;1;122C;MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK - TEPEÃœSTÃœ;3;;122C_D_D0
224;1;122C;TEPEÃœSTÃœ - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;122C_G_D0
225;1;122C;TEPEÃœSTÃœ - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;;122C_G_D2294
226;1;122C;TEPEÃœSTÃœ - ZÄ°NCÄ°RLÄ°KUYU;3;SEFEFLER 1.KÃ–PRÃœ'DEN GÄ°DER.;122C_G_D2478
227;1;122C;TEPEÃœSTÃœ - BALKAN CADDESÄ°;3;;122C_G_D2772
228;1;122D;MECÄ°DÄ°YEKÃ–Y MEZARLIK - ATATÃœRK MAHALLESÄ° PERONLAR;3;;122D_D_D0
229;1;122D;ATATÃœRK MAHALLESÄ° PERONLAR - MECÄ°DÄ°YEKÃ–Y MEZARLIK;3;16:30 - 20:00 SAATLERÄ° ARASINDA ALÄ° SAMÄ° YEN DURAÄINA UÄRAMAZ.;122D_G_D0
230;1;122D;DEMOKRASÄ° CADDESÄ° - DEMOKRASÄ° CADDESÄ°;3;;122D_G_D1737
231;1;122D;ATATÃœRK MAHALLESÄ° PERONLAR - MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK;3;MECÄ°DÄ°YEKÃ–Y VÄ°YADÃœK'TEN RÄ°NG OLARAK HÄ°ZMET VERÄ°R.;122D_G_D2613
